material_id,composition,bg,elements
mp-28306,MnBr2,3.76,"['Br', 'Mn']"
mp-1218758,Sr2LaGaO5,4.6,"['Ga', 'La', 'O', 'Sr']"
mp-559251,K3Cr2(PS4)3,1.35,"['Cr', 'K', 'P', 'S']"
mp-17254,TlGaSe2,1.88,"['Ga', 'Se', 'Tl']"
mp-23263,LaBr3,3.75,"['Br', 'La']"
mp-570321,InSb2Se4Br,1.35,"['Br', 'In', 'Sb', 'Se']"
mp-8491,LiInP2O7,4.6,"['In', 'Li', 'O', 'P']"
mp-18844,CaMn2O4,1.67,"['Ca', 'Mn', 'O']"
mp-19202,MgCr2O4,0.693,"['Cr', 'Mg', 'O']"
mp-4820,ZrSiO4,4.0,"['O', 'Si', 'Zr']"
mp-1220818,NaBi(WO4)2,3.02,"['Bi', 'Na', 'O', 'W']"
mp-559489,K2ZrSi2O7,4.95,"['K', 'O', 'Si', 'Zr']"
mp-1220785,NaLaTi2O6,3.28,"['La', 'Na', 'O', 'Ti']"
mp-1342,BaO,3.56,"['Ba', 'O']"
mp-2646981,CsPbI2Br,1.91,"['Br', 'Cs', 'I', 'Pb']"
mp-669458,Cs3Bi2I9,2.0,"['Bi', 'Cs', 'I']"
mp-1025340,Cu2WSe4,1.64,"['Cu', 'Se', 'W']"
mp-757343,Ca4Bi6O13,2.76,"['Bi', 'Ca', 'O']"
mp-886,Ga2O3,4.8,"['Ga', 'O']"
mp-556850,BaMnF4,1.0,"['Ba', 'F', 'Mn']"
mp-554293,BaFe12O19,2.0,"['Ba', 'Fe', 'O']"
mp-1195664,Sr2P7Br,2.1,"['Br', 'P', 'Sr']"
mp-1195594,Ba8Sn4S15,2.31,"['Ba', 'S', 'Sn']"
mp-3368,LiNb3O8,3.9,"['Li', 'Nb', 'O']"
mp-3647,LiGaS2,3.635,"['Ga', 'Li', 'S']"
mp-1195102,RbAg5(PS4)2,2.4,"['Ag', 'P', 'Rb', 'S']"
mp-9770,Ag8GeS6,1.45,"['Ag', 'Ge', 'S']"
mp-1228557,Ba8Ti3Nb4O24,3.4,"['Ba', 'Nb', 'O', 'Ti']"
mp-23281,SbI3,2.3550000000000004,"['I', 'Sb']"
mp-1056,Tb2O3,0.95,"['O', 'Tb']"
mp-1020712,ZnSiN2,3.875,"['N', 'Si', 'Zn']"
mp-252,BeTe,2.895,"['Be', 'Te']"
mp-1200720,CsInSe2,2.81,"['Cs', 'In', 'Se']"
mp-3563,Ba5Nb4O15,3.81,"['Ba', 'Nb', 'O']"
mp-1208111,TlPb2Br5,2.92,"['Br', 'Pb', 'Tl']"
mp-4988,TlAsS2,1.3,"['As', 'S', 'Tl']"
mp-1191826,KBaAsSe3,2.26,"['As', 'Ba', 'K', 'Se']"
mp-5962,NaMgAs,0.97,"['As', 'Mg', 'Na']"
mp-9922,HfS3,2.2,"['Hf', 'S']"
mp-12385,Ba2YTaO6,3.5,"['Ba', 'O', 'Ta', 'Y']"
mp-1105212,Rb2AgPS4,2.6,"['Ag', 'P', 'Rb', 'S']"
mp-14088,Rb2PdF6,2.67,"['F', 'Pd', 'Rb']"
mp-1195471,K2Ta4O11,4.15,"['K', 'O', 'Ta']"
mp-559459,CsInS2,3.4,"['Cs', 'In', 'S']"
mp-2724101,Li2HfO3,0.5,"['Hf', 'Li', 'O']"
mp-680422,CBr4,3.7,"['Br', 'C']"
mp-683965,C2F,3.94,"['C', 'F']"
mp-17964,Na2Ge2Se5,2.31,"['Ge', 'Na', 'Se']"
mp-11604,KSm2CuS4,2.17,"['Cu', 'K', 'S', 'Sm']"
mp-1209693,Rb3Sb2I9,2.1,"['I', 'Rb', 'Sb']"
mp-540962,KLa(PO3)4,4.905,"['K', 'La', 'O', 'P']"
mp-4156,Li2ZrO3,4.74,"['Li', 'O', 'Zr']"
mp-1201497,Bi2Pd(SeO3)4,1.73,"['Bi', 'O', 'Pd', 'Se']"
mp-1190,ZnSe,2.7,"['Se', 'Zn']"
mp-4309,BaGa4S7,3.54,"['Ba', 'Ga', 'S']"
mp-558753,BiB2O4F,4.32,"['B', 'Bi', 'F', 'O']"
mp-3349,Sr3Ti2O7,3.2,"['O', 'Sr', 'Ti']"
mp-1250007,SiSe2,1.74,"['Se', 'Si']"
mp-19083,NaVO3,2.495,"['Na', 'O', 'V']"
mp-3922,AgSbS2,1.45,"['Ag', 'S', 'Sb']"
mp-19455,MnMoO4,1.96,"['Mn', 'Mo', 'O']"
mp-32533,Na2W4O13,2.95,"['Na', 'O', 'W']"
mp-30092,TiCl4,2.975,"['Cl', 'Ti']"
mp-12954,CuBS2,3.61,"['B', 'Cu', 'S']"
mp-18556,Rb2Cd3S4,2.92,"['Cd', 'Rb', 'S']"
mp-28517,Tl6SeI4,1.86,"['I', 'Se', 'Tl']"
mp-1189242,Dy3GaS6,2.81,"['Dy', 'Ga', 'S']"
mp-17945,RbPSe6,2.18,"['P', 'Rb', 'Se']"
mp-1204356,SiC,2.5,"['C', 'Si']"
mp-1190388,Na2Ga2GeS6,3.29,"['Ga', 'Ge', 'Na', 'S']"
mp-1095618,PtN2,1.06,"['N', 'Pt']"
mp-5777,BaTiO3,3.2,"['Ba', 'O', 'Ti']"
mp-27871,RhBr3,1.76,"['Br', 'Rh']"
mp-7765,Ba3SiO5,3.04,"['Ba', 'O', 'Si']"
mp-1195667,Cs2MgGe3Se8,2.04,"['Cs', 'Ge', 'Mg', 'Se']"
mp-11175,LiZnPS4,3.44,"['Li', 'P', 'S', 'Zn']"
mp-1194749,Cs2ZnGe3Se8,2.31,"['Cs', 'Ge', 'Se', 'Zn']"
mp-556225,Ag2S,1.09,"['Ag', 'S']"
mp-28421,Cs2HgI4,2.34,"['Cs', 'Hg', 'I']"
mp-28051,SbTeI,1.53,"['I', 'Sb', 'Te']"
mp-1208761,,3.38,
mp-27998,KNb3O8,4.1,"['K', 'Nb', 'O']"
mp-1170,SnS2,2.2,"['S', 'Sn']"
mp-23041,SbSI,1.86,"['I', 'S', 'Sb']"
mp-19474,Ba2V2O7,3.22,"['Ba', 'O', 'V']"
mp-531826,Li2PtO3,2.3,"['Li', 'O', 'Pt']"
mp-27678,Y2Cl3,1.14,"['Cl', 'Y']"
mp-1195201,K2Au(IO3)5,2.285,"['Au', 'I', 'K', 'O']"
mp-752425,Dy2Ti2O7,3.1,"['Dy', 'O', 'Ti']"
mp-19001,SrMnO3,1.2,"['Mn', 'O', 'Sr']"
mp-1863,SiAs,1.525,"['As', 'Si']"
mp-1223734,K2La2Sb2S9,2.2,"['K', 'La', 'S', 'Sb']"
mp-4199,Na2S2O3,0.98,"['Na', 'O', 'S']"
mp-9490,KAg2SbS4,1.63,"['Ag', 'K', 'S', 'Sb']"
mp-866503,Ca2SnS4,2.52,"['Ca', 'S', 'Sn']"
mp-4016,TlGaS2,2.925,"['Ga', 'S', 'Tl']"
mp-1228150,Ba3LaNb3O12,4.1,"['Ba', 'La', 'Nb', 'O']"
mp-22856,Bi2S3,1.3,"['Bi', 'S']"
mp-1223253,La2MnNiO6,1.133,"['La', 'Mn', 'Ni', 'O']"
mp-1106218,Sr2ScSbO6,3.47,"['O', 'Sb', 'Sc', 'Sr']"
mp-19034,Mg3V2O8,3.02,"['Mg', 'O', 'V']"
mp-361,Cu2O,2.1,"['Cu', 'O']"
mp-1212067,InSbO4,4.05,"['In', 'O', 'Sb']"
mp-2831941,Na2CdSnS4,2.52,"['Cd', 'Na', 'S', 'Sn']"
mp-17761,CaGeO3,2.03,"['Ca', 'Ge', 'O']"
mp-568965,CaSiN2,3.44,"['Ca', 'N', 'Si']"
mp-1191266,BiIO4,3.0700000000000003,"['Bi', 'I', 'O']"
mp-17947,BaCu2GeS4,2.465,"['Ba', 'Cu', 'Ge', 'S']"
mp-1197353,Ba4LiGa5Se12,2.65,"['Ba', 'Ga', 'Li', 'Se']"
