mpid,formula,bg_comp,bg_exp
mp-1019584,CaAl2SiO6,4.605699999999999,
mp-1019586,CaAl2SiO6,4.536299999999999,
mp-1019587,CaAl2SiO6,4.596000000000001,
mp-1019589,Ce3Zr5O16,1.8121,
mp-1019591,Ce3ZrO8,1.8144999999999991,
mp-1019593,Ce(PO3)4,1.2397,
mp-1019595,Ce5Zr3O16,1.829499999999999,
mp-1019596,CeZrO4,1.9738,
mp-1019600,CeZr3O8,1.9176,
mp-1019601,CeZr7O16,2.1576,
mp-1019602,Cs2Al2B2O7,,4.13
mp-1019603,Cs2BaP2O7,4.8119,
mp-1019607,Cs2Li5(BO2)7,4.534599999999999,
mp-1019608,Cs3BO3,2.6073,
mp-1019610,Cs2MgSi5O12,4.9135,
mp-1019612,Cs4ZnO3,1.6802,
mp-1019614,Cs3Y(PO4)2,4.588900000000001,
mp-1019615,Cs3Li4(BO2)7,4.5305,
mp-1019713,Cs4Si3O8,3.658,
mp-1019716,CsLi4(BO2)5,4.6613,
mp-1019720,CsZr2Al(PO4)4,4.3838,
mp-1019721,CsMgBO3,3.3364000000000003,
mp-1019723,CsZn4(BO3)3,2.825999999999999,
mp-1019740,GaB3N4,3.7109,
mp-1019743,Ga3BN4,2.3955,
mp-1019744,K2Al2Si3O10,4.3747,
mp-1019745,K2Ca3Si3O10,4.7685,
mp-1019746,K2Ca4Si8O21,4.594,
mp-1019747,K2Ca3Si3O10,4.1123,
mp-1019775,K2Ge(S2O7)3,3.7824,
mp-1019777,K2La2B2O7,4.2792,
mp-1019779,K2Mg2Si2O7,4.9573,
mp-1019781,K2Na3P3O10,4.3865,
mp-1019783,K2S2O3,3.8787,
mp-1019784,K2SN2O5,3.2375,
mp-1019786,K3Zn(BO2)5,4.3815,
mp-1019787,K2NaZn(BO2)5,4.2359,
mp-1019791,K2Zn(PO3)4,4.849699999999999,
mp-1019792,K2ZrSi2O7,4.520300000000001,
mp-1019793,K3La(PO4)2,4.662000000000001,
mp-1019796,K4P2O7,3.7435,
mp-1019803,KAl9O14,4.3523,
mp-1019888,KNa2BN2,1.581799999999999,
mp-1019891,KPSO2,4.1722,
mp-1019892,La2B8O15,4.427700000000001,
mp-1019893,La3Si6N11,2.9659,
mp-1019894,La4B10O21,4.139400000000001,
mp-1019895,La3BN2O3,1.211400000000001,
mp-1019896,La5S4NO2,1.374299999999999,
mp-1019897,LaNO4,1.352199999999999,
mp-1019898,LaPO4,4.6503,
mp-1019967,LaSi3N5,,3.915
mp-1019968,LaZn(BO2)5,4.731199999999999,
mp-1020009,Li2Ca2Si2O7,4.7409,
mp-1020011,Li14P2(N2O)3,3.601799999999999,
mp-1020012,Li2Ge4O9,3.0272,
mp-1020016,Li4Ca2Mg(SiN3)2,3.2799,
mp-1020024,Li6B4O9,4.8958,
mp-1020030,LiAl(GeO3)2,3.5862,
mp-1020031,LiCaAlN2,2.7797,
mp-1020056,LiCa3Si2N5,2.4382,
mp-1020057,LiLaO2,3.7336,
mp-1020058,Mg(NO3)2,3.4697,
mp-1020059,LiGe2N3,2.763,
mp-1020107,LiCaAl3N4,3.093,
mp-1020108,LiCaMgSiN3,2.837399999999999,
mp-1020110,Mg2SiO4,4.023599999999999,
mp-1020112,Mg2SiO4,4.457700000000001,
mp-1020115,MgSiO3,4.7633,
mp-1020117,MgSiO3,4.7652,
mp-1020118,MgSiO3,4.800600000000001,
mp-1020123,MgSiO3,4.6316,
mp-1020124,MgSiO3,4.8602,
mp-1020125,MgSiO3,4.831,
mp-1020141,Na2Al2Si3O10,4.4513,
mp-1020145,Na2Ge(S2O7)3,4.067,
mp-1020160,Na3Zn(BO2)5,4.4531,
mp-1020162,Na4Mg3P4O15,4.9429,
mp-1020163,Na3Li2Al(SiO4)2,4.051,
mp-1020164,Na3LiP2O7,4.8511,
mp-1020179,Na6Si2O7,3.5458,
mp-1020181,Na2ZnB6O11,4.7511,
mp-1020193,KNO3,2.9530000000000003,
mp-1020361,MgSiO3,4.7926,
mp-1020578,Sr4S3O,2.1115,
mp-1020587,SrMg3SiN4,2.413299999999999,
mp-1020588,ZrSiO4,3.862299999999999,
mp-1020592,Sr4Li2Si4N8O,2.781799999999999,
mp-1020594,Zn2SiO4,2.677,
mp-1020596,NaGa(GeO3)2,2.6524,
mp-1020598,Y4Si2S3O7,2.4972,
mp-1020608,SiP2O7,4.940999999999999,
mp-1020609,Zn2SiO4,2.8539,
mp-1020610,Zn2SiO4,2.6559,
mp-1020611,SrGe2(BO4)2,3.813099999999999,
mp-1020613,Rb5GaO4,2.1824,
mp-1020616,RbMgPO4,4.6422,
mp-1020620,Rb5Li6(BO2)11,4.5125,
mp-1020622,SrZrO3,3.168099999999999,
mp-1020623,ZnSiO3,3.5938,
mp-1020626,Zr2Ga(PO4)3,4.186999999999999,
mp-1020627,SrLiAl3N4,3.0465,
mp-1020628,SrGe(PO4)2,4.0991,
mp-1020629,SrMgP3N5O2,4.356000000000001,
mp-1020630,Rb2Na(NO3)3,3.014199999999999,
mp-1020631,ZnGeO3,1.3848999999999991,
mp-1020633,RbMgBO3,,3.827
mp-1020634,SrMgB2O5,4.9917,
mp-1020636,Zn2SiO4,2.811499999999999,
mp-1020641,Rb2Ca2(SiO3)3,4.133500000000001,
mp-1020642,Sr3Y2(BO3)4,4.5432,
mp-1020643,Rb3Zn(BO2)5,4.314,2.66
mp-1020647,Sr2LiBeB3O8,4.9369,
mp-1020648,NaLaSiO4,4.5657,
mp-1020650,Sr3Ge2(B3O8)2,4.4324,
mp-1020661,NaAl(SiO3)2,4.6427,
mp-1020663,Si(GeN2)2,1.6596000000000002,
mp-1020664,Rb2Li5(BO2)7,4.6297000000000015,
mp-1020666,Li4P2O7,2.8619000000000003,
mp-1020671,Y(NO3)3,3.311099999999999,
mp-1020703,SiGeN2O,3.4637,
mp-1020704,Sr2Ge(S2O7)4,3.4847,
mp-1020706,SrY2Si3O10,4.9314,
mp-1020709,Sr5(Ga3O7)2,3.151799999999999,
mp-1020712,ZnSiN2,,3.8750000000000004
mp-1020714,Y4AlSiNO8,3.9046,
mp-1020715,Sr6Y2Al4O15,3.9869,
mp-1020717,Zn2SiO4,2.3581,
mp-1020721,Zn2SiO4,2.4688,
mp-1020723,Sr2Ga2O5,3.1468,
mp-1020724,Na7Al4P9O32,4.9808,
mp-1020725,Sr4Li2B12O23,4.877599999999999,
mp-1020739,PSN9,3.2361,
mp-1020860,Rb2MgSi5O12,4.7822,
mp-1021327,KLiICl,4.4304,
mp-1021330,Rb2Ge(S2O7)3,3.8101,
mp-1021431,CsNaICl,3.512,
mp-1021464,H6PbCNCl3,2.796599999999999,
mp-1021465,Na2ZnSe2,2.139599999999999,
mp-1021466,CsPPb(IF3)2,1.791,
mp-1021490,Sn4SF6,2.6861,
mp-1021492,Cd4SF6,0.7836000000000001,
mp-1021494,Cd5(S2Cl)2,1.391,
mp-1021497,Li2SiSnS4,1.9189,
mp-1021503,SiO2,4.528499999999999,
mp-1021504,Ba2NbFeO6,1.455,
mp-1021510,LiGe2(PO4)3,3.6307,
mp-1021511,CdS,1.5192,
mp-1021512,LuO3,1.436299999999999,
mp-1021514,NaGe2(PO4)3,3.1872,
mp-1021522,VO2,0.9877,
mp-10219,YOF,4.9476,
mp-1021950,BaNb2(FeO3)4,1.7345000000000002,
mp-1022,K2S,,2.1
mp-10223,Na2PdS2,0.9447999999999992,
mp-10226,NaYS2,2.263499999999999,
mp-1022731,BaNb2Fe2O9,1.083899999999999,
mp-1022733,Ba2NbFeO6,1.690799999999999,
mp-1022808,Ba2NbFeO6,1.349799999999999,
mp-1022809,Ba4NbFeO8,2.7302,
mp-1022965,K3V2(PO4)3,1.8037,
mp-1023132,K2Cu(ClF)2,0.585299999999999,
mp-10233,Ca2BN2F,2.9265,
mp-10234,Sr2BN2F,2.5675,
mp-1023923,O2,2.3448,
mp-1023924,MoS2,1.6605999999999992,
mp-1023925,WS2,1.697,
mp-1023926,Te2W,1.0785,
mp-1023927,Te2MoWSe2,0.7319999999999991,
mp-1023928,MoWSe4,1.2829000000000002,
mp-1023929,WSeS,0.8086000000000001,
mp-1023933,WSe2,1.5241,
mp-1023934,MoSe2,1.4311,
mp-1023935,Te2Mo,1.07,
mp-1023936,WSe2,1.5378,
mp-1023937,WS2,1.8091,
mp-1023938,Te2Mo,1.049699999999999,
mp-1023939,MoS2,1.5539,
mp-1023940,MoSe2,1.424799999999999,
mp-1023941,Te4MoW,0.938199999999999,
mp-1023942,Te2W,1.042099999999999,
mp-1023953,MoSeS,0.680299999999999,
mp-1023954,MoWS4,1.3369,
mp-1023955,MoW(SeS)2,1.013399999999999,
mp-1024034,SrMg3O4,2.5915,
mp-1024036,Mg3SiO4,0.8048000000000001,
mp-1024040,BaMg3O4,0.7934999999999991,
mp-1024042,La4Al6O15,4.345299999999999,
mp-1024043,CaMg3O4,3.904,
mp-1024045,Mg3ZnO4,2.832499999999999,
mp-1024047,Na6ZnSe4,1.6667,
mp-1024048,Na4Zn3Se5,1.1282,
mp-1024049,Na2Zn2Se3,2.2788,
mp-1024050,Na2Zn3Se4,1.444,
mp-1024051,Na2Zn2Se3,1.4299,
mp-1024052,Na2ZnSe2,2.2405,
mp-1024067,Na2ZnS2,2.308999999999999,
mp-1024068,Mg3VO4,1.538400000000001,
mp-1024069,Na2Zn3S4,2.2797,
mp-1024070,Na4Zn3S5,1.9102,
mp-1024072,Na2Zn3S4,2.2614,
mp-1024073,K2Sn3O7,,3.325
mp-1024076,Na2ZnS2,2.1164,
mp-10246,Na2PtS2,1.1433,
mp-1025029,PrHSe,1.9162,
mp-10251,LiDyO2,3.964299999999999,
mp-1025115,CdIBr,2.198,
mp-1025154,UTl2O4,1.511299999999999,
mp-1025163,Gd2C(NO)2,2.4257,
mp-1025166,MgAlF5,4.677,
mp-1025185,Cs2CaCl4,4.7867,
mp-1025201,Rb2PdCl4,1.7485,
mp-1025221,Zn(NF2)2,1.4223,
mp-1025250,RhF6,0.8667,
mp-1025252,Cs2MnCl4,1.2335,
mp-1025267,Cs2CaBr4,4.0811,
mp-1025276,Sm2AlNO3,1.0053,
mp-1025277,Pr2AlNO3,0.7129000000000001,
mp-1025286,Rb2ZnF4,4.3870000000000005,
mp-1025340,Cu2WSe4,,1.64
mp-1025349,Sr2ZrO4,2.7749,
mp-1025351,Sr4Bi2O,0.6276,
mp-1025377,Cd(AgI2)2,1.7741,
mp-1025396,NbTl3Se4,2.1041,
mp-1025439,CsCuC2,1.7321,
mp-1025442,IrI3,1.3846999999999992,
mp-1025461,PrBrO2,3.1552,
mp-1025496,LiNbSe2,0.7318999999999991,
mp-1025511,NdBrO2,3.1288,
mp-1025522,ThTe3,0.6758999999999991,
mp-1025549,Tl3VSe4,1.5636,
mp-1025567,NbCl2O,0.9093,
mp-1025571,WS2,1.6345,
mp-1025572,WSe2,1.228899999999999,
mp-1025573,Te2W,0.6644000000000001,
mp-1025575,Mo(WSe3)2,1.014299999999999,
mp-1025576,Te2Mo,0.623,
mp-1025577,W3(SeS2)2,0.906,
mp-1025584,W3(SeS2)2,0.9204999999999992,
mp-1025588,W3(Se2S)2,0.716,
mp-1025599,W3(Se2S)2,0.6892,
mp-1025629,Te6Mo2W,0.5741,
mp-1025649,Te6Mo2W,0.6132000000000001,
mp-1025656,MoW2(Se2S)2,0.726799999999999,
mp-1025663,MoW2(SeS2)2,1.1235,
mp-1025678,Te6MoW2,0.6236,
mp-1025689,Mo(WS3)2,1.272199999999998,
mp-1025716,MoW2(SeS2)2,0.5607,
mp-1025740,MoW2(Se2S)2,0.722599999999999,
mp-1025748,Mo2W(Se2S)2,0.9331,
mp-1025787,Mo(WSe3)2,1.0526,
mp-1025799,MoSe2,1.160299999999999,
mp-1025815,Mo2WSe6,1.036699999999999,
mp-1025816,MoW2(Se2S)2,0.7123,
mp-1025819,Mo3(Se2S)2,0.591699999999999,
mp-1025824,MoW2(SeS2)2,1.0827,
mp-1025874,MoS2,1.5093,
mp-1025879,Mo2W(Se2S)2,0.9149,
mp-1025896,Mo2W(SeS2)2,0.5863,
mp-1025905,Mo2WSe6,0.9875,
mp-1025906,Mo3(Se2S)2,0.5618999999999991,
mp-1025911,Mo2WS6,1.2505,
mp-1025917,MoW2(SeS2)2,0.5717999999999991,
mp-1025919,MoW2(SeS2)2,0.5496999999999991,
mp-1025922,Mo2WS6,1.307499999999999,
mp-1025925,Mo3(SeS2)2,0.7782,
mp-1025934,Mo2W(SeS2)2,0.5612,
mp-1025941,Mo2W(SeS2)2,0.7841,
mp-1025948,Mo2W(SeS2)2,0.797999999999999,
mp-1025988,Mo3(SeS2)2,0.779999999999999,
mp-1026023,Mo2W(SeS2)2,0.7707,
mp-1026034,Mo(WS3)2,1.1932,
mp-1026351,Te6MoW2,0.5968999999999991,
mp-1026909,Mo3W(SeS)4,0.552,
mp-1026910,MoW(SeS)2,0.6052999999999991,
mp-1026911,MoW(SeS)2,0.5913,
mp-1026916,MoSeS,0.607699999999999,
mp-1026927,Mo3W(SeS)4,0.6504999999999991,
mp-1026975,MoWSeS3,0.5367999999999991,
mp-1026980,Mo2Se3S,0.537999999999999,
mp-1027051,Mo3W(SeS)4,0.663899999999999,
mp-1027091,MoW(SeS)2,0.627699999999999,
mp-1027112,MoW3(SeS)4,0.6724,
mp-1027115,MoW3(SeS3)2,0.5772,
mp-1027127,MoW(SeS)2,0.6654,
mp-1027129,Mo3W(SeS)4,0.606799999999999,
mp-1027140,MoW3(SeS)4,0.6412999999999991,
mp-1027143,MoWSeS3,0.5151,
mp-1027147,MoW(SeS)2,0.658,
mp-1027150,MoW(SeS)2,0.6591,
mp-1027159,MoW(SeS)2,0.6122999999999991,
mp-1027267,Mo3W(SeS)4,0.703599999999999,
mp-1027269,MoWS4,1.245,
mp-1027273,MoW3S8,1.2576,
mp-1027274,MoWSeS3,0.5998999999999991,
mp-1027292,MoWSeS3,0.6067,
mp-1027293,MoWSeS3,0.5724,
mp-1027294,Mo3W(SeS3)2,0.534,
mp-1027328,MoW3(SeS3)2,0.567299999999999,
mp-1027335,MoWS4,1.2209,
mp-1027376,MoW(SeS)2,0.6365000000000001,
mp-1027391,MoWSeS3,0.597399999999999,
mp-1027409,Mo3W(SeS)4,0.6364999999999991,
mp-1027440,MoW(SeS)2,0.6385999999999991,
mp-1027472,Mo3W(SeS3)2,0.5839999999999991,
mp-1027473,Mo3W(SeS)4,0.586499999999999,
mp-1027492,MoSeS,0.6666000000000001,
mp-1027510,MoW(SeS)2,0.557999999999999,
mp-1027524,Mo3W(SeS)4,0.7110000000000001,
mp-1027525,MoS2,1.463999999999999,
mp-1027537,Mo3W(SeS3)2,0.5347000000000001,
mp-1027551,Mo3W(SeS)4,0.6898000000000001,
mp-1027569,Mo3WS8,1.2054,
mp-1027580,MoSeS,0.6547000000000001,
mp-1027608,Mo2SeS3,0.5037,
mp-1027645,Mo3WS8,1.1872,
mp-1027646,Mo3W(SeS3)2,0.5276000000000001,
mp-1027647,MoWS4,1.2003,
mp-1027658,Te2Mo3WSe6,0.544999999999999,
mp-1027663,Te4Mo3WSe4,0.6193000000000001,
mp-1027671,MoW(SeS)2,0.7778,
mp-1027672,MoWSe3S,0.6272000000000001,
mp-1027682,TeMo2Se3,0.5667,
mp-1027683,TeMoSe,0.6408,
mp-1027687,MoSeS,0.6042000000000001,
mp-1027692,MoSe2,1.4014,
mp-1027711,Te2Mo3WSe6,0.6015,
mp-1027714,Mo3W(SeS)4,0.650799999999999,
mp-1027729,Mo3W(Se3S)2,0.9023,
mp-1027795,Mo3W(SeS3)2,0.5583,
mp-1027802,Mo3W(Se3S)2,0.8835000000000001,
mp-1027818,TeMo2Se3,0.5434,
mp-1027890,Mo2SeS3,0.5507000000000001,
mp-10281,ZnS,2.0471,
