mpids,formula,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,Temperature_raw_value,DOI,compound_type
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.68],,10.1016/S0040-6090(02)00771-X,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[4.0],,10.1016/S0040-6090(99)00690-2,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.4],,10.1016/j.matlet.2016.08.026,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1016/j.mee.2010.08.023,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.9],,10.1016/j.mee.2010.08.023,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1016/j.mee.2010.08.023,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[1.0],,10.1016/j.mee.2010.08.023,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1039/b927408a,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[0.13],300,10.1039/c2cs35335k,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1039/c5mh00288e,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[4.9],,10.1039/c5nr08065g,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1039/c5tc00076a,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.37],,10.1039/c5tc03307a,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[3.18],,10.1039/c6ra13776h,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1039/c8cp04743j,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1039/d0ra01073a,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.93],,10.1039/d0ra01073a,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1039/c2tc00385f,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[4.91],,10.1039/c6ra10644g,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[8.0],,10.1039/c8nr06652c,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.03],,10.1039/c9cp01786k,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[0.25],,10.1039/c9cp01786k,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[0.023],,10.1039/c8nr04416c,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.68],,10.1039/b917604g,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.68],,10.1039/c1jm11763g,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1039/c8ta11945g,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.68],,10.1039/b821502b,Double anions
