material_id,composition,bg,elements
mp-2714846,Na14Ta2Ga6Si9(SO16)3,2.6872,"['Ga', 'Na', 'O', 'S', 'Si', 'Ta']"
mp-1111070,Li3RhF6,1.8808,"['F', 'Li', 'Rh']"
mp-1379199,V3O7,1.4513,"['O', 'V']"
mp-775765,LiFeF5,0.8691000000000001,"['F', 'Fe', 'Li']"
mp-752833,PH2NF2,4.7552,"['F', 'H', 'N', 'P']"
mp-1210603,MgZn2(PO4)2,3.964,"['Mg', 'O', 'P', 'Zn']"
mp-752401,Rb2ZrO3,3.1281,"['O', 'Rb', 'Zr']"
mp-555644,Al2Tl3(PO4)3,3.4929,"['Al', 'O', 'P', 'Tl']"
mp-766249,Bi24Br10O31,1.476,"['Bi', 'Br', 'O']"
mp-1214326,CaH8C6S2(NO4)2,2.5632,"['C', 'Ca', 'H', 'N', 'O', 'S']"
mp-728170,Rb2CrH2Cl5O,0.7788,"['Cl', 'Cr', 'H', 'O', 'Rb']"
mp-28374,S5N5Cl,1.4232,"['Cl', 'N', 'S']"
mp-29460,Tl3PdCl5,1.5914,"['Cl', 'Pd', 'Tl']"
mp-1383146,Ca(WO2)2,0.9864,"['Ca', 'O', 'W']"
mp-17707,Cs3Na2SnP3,1.027,"['Cs', 'Na', 'P', 'Sn']"
mp-1113443,Cs2BiAuCl6,0.9914,"['Au', 'Bi', 'Cl', 'Cs']"
mp-1003402,CaMnO2,2.1657,"['Ca', 'Mn', 'O']"
mp-1095831,InCuAu2,1.3736000000000002,"['Au', 'Cu', 'In']"
mp-559493,TiPCl7O,2.602,"['Cl', 'O', 'P', 'Ti']"
mp-1032957,CaMg6CoO8,2.6627,"['Ca', 'Co', 'Mg', 'O']"
mp-1209636,RbDyS2O9,0.9818,"['Dy', 'O', 'Rb', 'S']"
mp-1204133,Cs2Th(Si2O5)3,4.8223,"['Cs', 'O', 'Si', 'Th']"
mp-753060,LiV2O2F3,1.762299999999999,"['F', 'Li', 'O', 'V']"
mp-764647,Na8TiO6,2.0298,"['Na', 'O', 'Ti']"
mp-28903,Zr6FeCl14,1.150699999999999,"['Cl', 'Fe', 'Zr']"
mp-36447,Al2CoO4,3.0024,"['Al', 'Co', 'O']"
mp-1189652,CSN2,1.0874,"['C', 'N', 'S']"
mp-759330,Rb4Ge9(H3N)5,2.0492,"['Ge', 'H', 'N', 'Rb']"
mp-1210286,Na2ReO3,1.995499999999999,"['Na', 'O', 'Re']"
mp-849473,Li3Fe9O5F11,1.944599999999999,"['F', 'Fe', 'Li', 'O']"
mp-677138,RbPHO3F,4.941,"['F', 'H', 'O', 'P', 'Rb']"
mp-1031931,YMg6BO8,3.3055,"['B', 'Mg', 'O', 'Y']"
mp-2715591,Na2Sc2Nb6Si7S5O48,1.8685,"['Na', 'Nb', 'O', 'S', 'Sc', 'Si']"
mp-1008559,BP,1.0624,"['B', 'P']"
mp-1032822,Mg6MnZnO8,4.051399999999999,"['Mg', 'Mn', 'O', 'Zn']"
mp-17006,SmTl(MoO4)2,3.534399999999999,"['Mo', 'O', 'Sm', 'Tl']"
mp-776408,YNb2NO5,2.4171,"['N', 'Nb', 'O', 'Y']"
mp-1080262,CeSe2,0.9448,"['Ce', 'Se']"
mp-1147593,Li6Zn3(PS4)4,2.4946,"['Li', 'P', 'S', 'Zn']"
mp-2224735,MgV5O10,0.6482,"['Mg', 'O', 'V']"
mp-734425,Pt(SN)4,1.1025,"['N', 'Pt', 'S']"
mp-1208391,Ti3NbZnBi3O14,2.9545,"['Bi', 'Nb', 'O', 'Ti', 'Zn']"
mp-757193,Li4Cr3Ni(PO4)4,1.563099999999999,"['Cr', 'Li', 'Ni', 'O', 'P']"
mp-2223070,MgSb2(O2F)2,1.9672,"['F', 'Mg', 'O', 'Sb']"
mp-1516329,NaCaZrSbO6,3.383099999999999,"['Ca', 'Na', 'O', 'Sb', 'Zr']"
mp-1110865,K2LiSbCl6,2.9339,"['Cl', 'K', 'Li', 'Sb']"
mp-561139,Rb8Fe2O7,1.608699999999999,"['Fe', 'O', 'Rb']"
mp-2275,UF6,2.7943,"['F', 'U']"
mp-778825,Na10Mn2O9,0.9707999999999992,"['Mn', 'Na', 'O']"
mp-2714045,Na5Sc2Ti2SiP5O24,2.1622,"['Na', 'O', 'P', 'Sc', 'Si', 'Ti']"
mp-1774919,CaSbF5,3.149899999999999,"['Ca', 'F', 'Sb']"
mp-1176014,Li9Mn2Co5O16,0.698099999999999,"['Co', 'Li', 'Mn', 'O']"
mp-760912,VOF2,1.7331999999999992,"['F', 'O', 'V']"
mp-759924,Bi14SO24,2.706699999999999,"['Bi', 'O', 'S']"
mp-2714906,Na7Sc2Ti2Si3(PO8)3,2.6163,"['Na', 'O', 'P', 'Sc', 'Si', 'Ti']"
mp-2218311,MgFe4(OF)4,0.9168,"['F', 'Fe', 'Mg', 'O']"
mp-768425,Li9(CoO4)2,0.607399999999999,"['Co', 'Li', 'O']"
mp-25239,V(SiO3)2,1.417799999999999,"['O', 'Si', 'V']"
mp-765901,Li4V4(OF3)3,0.536999999999999,"['F', 'Li', 'O', 'V']"
mp-17394,NaYGeO4,3.647,"['Ge', 'Na', 'O', 'Y']"
mp-558546,KSO3,4.995,"['K', 'O', 'S']"
mp-675069,LiNbO3,3.0192,"['Li', 'Nb', 'O']"
mp-754178,Mn5OF11,1.095899999999999,"['F', 'Mn', 'O']"
mp-1174178,Li3MnCoO5,0.6595000000000001,"['Co', 'Li', 'Mn', 'O']"
mp-1212108,HoRhO3,0.9605999999999992,"['Ho', 'O', 'Rh']"
mp-2230317,MgFeCo5O12,0.6374000000000001,"['Co', 'Fe', 'Mg', 'O']"
mp-1190864,BaAu2(SO4)4,1.785299999999999,"['Au', 'Ba', 'O', 'S']"
mp-29411,Na2B2S5,2.5898,"['B', 'Na', 'S']"
mp-561392,TcSO6F,2.721,"['F', 'O', 'S', 'Tc']"
mp-727025,YC3O8,0.5124000000000001,"['C', 'O', 'Y']"
mp-1041302,BaZnCuF7,0.7594000000000001,"['Ba', 'Cu', 'F', 'Zn']"
mp-1225380,Dy6Mg(GeS7)2,2.1727,"['Dy', 'Ge', 'Mg', 'S']"
mp-1286964,Li2V3O6,0.7047000000000001,"['Li', 'O', 'V']"
mp-1202335,BeH16C4S2(ClO2)2,4.3852,"['Be', 'C', 'Cl', 'H', 'O', 'S']"
mp-3118,Mg3TeO6,2.9101,"['Mg', 'O', 'Te']"
mp-650140,InCo3(CO)12,2.673,"['C', 'Co', 'In', 'O']"
mp-1182695,LiVTeO5,2.1093,"['Li', 'O', 'Te', 'V']"
mp-675237,Na3GdI6,1.549599999999999,"['Gd', 'I', 'Na']"
mp-19894,Cr2WO6,1.609599999999999,"['Cr', 'O', 'W']"
mp-7569,KAsF6,4.8371,"['As', 'F', 'K']"
mp-2225339,MgFe2(OF)2,1.465799999999999,"['F', 'Fe', 'Mg', 'O']"
mp-1567267,Li3V2(O2F)2,1.1533,"['F', 'Li', 'O', 'V']"
mp-1232090,Sm2MgS4,1.382099999999999,"['Mg', 'S', 'Sm']"
mp-2227262,MgV2Te2O7F2,1.406399999999999,"['F', 'Mg', 'O', 'Te', 'V']"
mp-2716271,Na6Ca8Nb16Si15(S7O48)3,1.2413,"['Ca', 'Na', 'Nb', 'O', 'S', 'Si']"
mp-1041188,ZnBi3P3O13,2.38,"['Bi', 'O', 'P', 'Zn']"
mp-2715015,Na8Sc2Zn2Si3(SO8)3,2.3997,"['Na', 'O', 'S', 'Sc', 'Si', 'Zn']"
mp-555150,KTa(BO3)2,3.6136,"['B', 'K', 'O', 'Ta']"
mp-1218862,Sr2CaAlO4F,4.4684,"['Al', 'Ca', 'F', 'O', 'Sr']"
mp-772715,Li4Ti3V3Cr2O16,0.8934999999999991,"['Cr', 'Li', 'O', 'Ti', 'V']"
mp-24470,Fe4P3(HO5)3,1.452799999999999,"['Fe', 'H', 'O', 'P']"
mp-705056,LiVP2O7,1.9716,"['Li', 'O', 'P', 'V']"
mp-19078,Ba2SrWO6,3.3505000000000003,"['Ba', 'O', 'Sr', 'W']"
