model,split,fold,ckpt,test_loss,test_mae,test_mre,test_r2
leftnet_z,crystalsys,mf.crystalsys.k0_outer,output/crystalsys/leftnet_z_9056202.txt,0.7735018730163574,0.6765103936195374,0.4060547053813934,0.378141701221466
leftnet_z,crystalsys,mf.crystalsys.k1_outer,output/crystalsys/leftnet_z_9056202.txt,0.597942054271698,0.5999090671539307,0.3215188682079315,0.4494222700595855
leftnet_z,crystalsys,mf.crystalsys.k2_outer,output/crystalsys/leftnet_z_9056202.txt,0.85870760679245,0.7279375791549683,0.3614574670791626,0.3085649907588959
leftnet_z,crystalsys,mf.crystalsys.k3_outer,output/crystalsys/leftnet_z_9056202.txt,0.6505650877952576,0.612887442111969,0.3422059416770935,0.3304561972618103
leftnet_z,crystalsys,mf.crystalsys.k4_outer,output/crystalsys/leftnet_z_9056202.txt,1.0920333862304688,0.806508481502533,0.4124056696891784,-0.060595653951168
leftnet_z,crystalsys,mf.crystalsys.k5_outer,output/crystalsys/leftnet_z_9056202.txt,0.612815260887146,0.6173748970031738,0.3396414220333099,0.3836170434951782
leftnet_z,crystalsys,mf.crystalsys.k6_outer,output/crystalsys/leftnet_z_9056202.txt,0.4652257859706878,0.5340936183929443,0.269092321395874,0.4044271111488342
linear_regression,chemsys,mf.chemsys.k0_outer,output/split/chemsys_lr.log,0.6446429104445798,0.6454733499007469,0.3476085760925882,0.4079962178158575
linear_regression,chemsys,mf.chemsys.k1_outer,output/split/chemsys_lr.log,0.6877841821654027,0.6588688358430285,0.381424991209773,0.3851084404432119
linear_regression,chemsys,mf.chemsys.k2_outer,output/split/chemsys_lr.log,0.7448845192155645,0.681206179990334,0.3818174816883554,0.2901156607096515
linear_regression,chemsys,mf.chemsys.k3_outer,output/split/chemsys_lr.log,0.574480414390564,0.5733397006988525,0.3149402141571045,0.4104233980178833
linear_regression,chemsys,mf.chemsys.k4_outer,output/split/chemsys_lr.log,0.8972893357276917,0.7130770087242126,0.3557551503181457,0.1991320848464965
linear_regression,chemsys,mf.chemsys.k5_outer,output/split/chemsys_lr.log,0.5944677736336027,0.6082675135563923,0.33080057340961,0.4194092415202453
linear_regression,chemsys,mf.chemsys.k6_outer,output/split/chemsys_lr.log,0.7061418057814214,0.6655029852339506,0.3312383812341555,0.2966304120529939
linear_regression,chemsys,mf.chemsys.k7_outer,output/split/chemsys_lr.log,0.9163721799850464,0.7366845011711121,0.4275909066200256,0.1647223234176635
linear_regression,chemsys,mf.chemsys.k8_outer,output/split/chemsys_lr.log,0.6947559118270874,0.6662908792495728,0.371363490819931,0.2871639728546142
linear_regression,chemsys,mf.chemsys.k9_outer,output/split/chemsys_lr.log,0.715082745063263,0.6549551833550775,0.3642651435737776,0.4162787513582129
random_forest,chemsys,mf.chemsys.k0_outer,output/split/chemsys_rf.log,0.4607041117048472,0.5247038703715668,0.2997758991020401,0.5769152624218572
random_forest,chemsys,mf.chemsys.k1_outer,output/split/chemsys_rf.log,0.495189895507201,0.5351317604029441,0.312882525828151,0.5572912331793629
random_forest,chemsys,mf.chemsys.k2_outer,output/split/chemsys_rf.log,0.6890962153006659,0.6338988800593786,0.3633726140004095,0.3432826177924259
random_forest,chemsys,mf.chemsys.k3_outer,output/split/chemsys_rf.log,0.4237315642497318,0.48460463653475,0.2649895024731347,0.5651336423478919
random_forest,chemsys,mf.chemsys.k4_outer,output/split/chemsys_rf.log,0.5455239088579987,0.5605428849395953,0.2654580934281468,0.5130972982738488
random_forest,chemsys,mf.chemsys.k5_outer,output/split/chemsys_rf.log,0.3493640389193058,0.4368412707274757,0.2401500247778169,0.6587913738336164
random_forest,chemsys,mf.chemsys.k6_outer,output/split/chemsys_rf.log,0.5642712728868967,0.5424370216300501,0.2684791919168295,0.4379439803006897
random_forest,chemsys,mf.chemsys.k7_outer,output/split/chemsys_rf.log,0.7266302958073444,0.633406022930784,0.3716274691970539,0.3376730234995307
random_forest,chemsys,mf.chemsys.k8_outer,output/split/chemsys_rf.log,0.5554840580751038,0.5638218844621442,0.3198846945774712,0.4300601919593939
random_forest,chemsys,mf.chemsys.k9_outer,output/split/chemsys_rf.log,0.5901424313993465,0.583695716485239,0.3215273610243919,0.5182673902969774
