split_dir,split_name,method,val_mae_mean,val_mae_std,val_mre_mean,val_mre_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mre_mean,test_mre_std,test_r2_mean,test_r2_std,val_mae_count,val_mre_count,val_r2_count,test_mae_count,test_mre_count,test_r2_count
category_no_pretrain,Halides,chgnet_prop,0.8880683183670044,,0.4058837890625,,-0.347569853067398,,0.8880683183670044,,0.4058836996555328,,-0.3475697934627533,,1,1,1,1,1,1
category_no_pretrain,Halides,leftnet_prop,0.9558327198028564,,0.4228304028511047,,-0.5651295185089111,,0.9558327198028564,,0.4228304624557495,,-0.5651295185089111,,1,1,1,1,1,1
category_no_pretrain,Halides,leftnet_z,1.781013011932373,,0.6608111262321472,,-4.131232738494873,,1.781013011932373,,0.6608111262321472,,-4.131232738494873,,1,1,1,1,1,1
category_no_pretrain,Hydrides,alignn_prop,1.2495639324188232,,0.378834068775177,,-0.8786866664886475,,1.2495639324188232,,0.378834068775177,,-0.8786866664886475,,1,1,1,1,1,1
category_no_pretrain,Hydrides,alignn_z,1.1959487199783323,,0.4237669110298157,,-0.6234347820281982,,1.1959487199783323,,0.4237669110298157,,-0.6234347820281982,,1,1,1,1,1,1
category_no_pretrain,Hydrides,cartnet,1.0711205005645752,,0.3785682320594787,,-0.4333961009979248,,1.0711205005645752,,0.378568172454834,,-0.4333959817886352,,1,1,1,1,1,1
category_no_pretrain,Hydrides,cartnet_prop,1.3043617010116575,,0.4881723523139953,,-0.8039344549179077,,1.3043618202209473,,0.4881723821163177,,-0.8039344549179077,,1,1,1,1,1,1
category_no_pretrain,Hydrides,cgcnn,0.9251586198806764,,0.3752339482307434,,0.0021553635597229,,0.9251586198806764,,0.3752339482307434,,0.0021553635597229,,1,1,1,1,1,1
category_no_pretrain,Hydrides,chgnet,1.2257559299468994,,0.4207713603973388,,-0.7215473651885986,,1.2257559299468994,,0.4207713603973388,,-0.7215473651885986,,1,1,1,1,1,1
category_no_pretrain,Hydrides,chgnet_prop,0.9662857055664062,,0.437282919883728,,-0.2837382555007934,,0.966285765171051,,0.4372829496860504,,-0.2837382555007934,,1,1,1,1,1,1
category_no_pretrain,Hydrides,leftnet_prop,0.9081387519836426,,0.3421128988265991,,-0.0817874670028686,,0.9081387519836426,,0.3421128988265991,,-0.0817874670028686,,1,1,1,1,1,1
category_no_pretrain,Hydrides,leftnet_z,1.2160792350769043,,0.4743495285511017,,-0.5514389276504517,,1.2160792350769043,,0.4743495285511017,,-0.5514389276504517,,1,1,1,1,1,1
category_no_pretrain,Nitrides,alignn_prop,1.1351691484451294,,0.4897757768630981,,-0.4715321362018585,,1.1351691484451294,,0.4897757768630981,,-0.4715321362018585,,1,1,1,1,1,1
category_no_pretrain,Nitrides,alignn_z,1.1738499402999878,,0.4622729122638702,,-0.988556742668152,,1.1738499402999878,,0.4622729122638702,,-0.988556742668152,,1,1,1,1,1,1
category_no_pretrain,Nitrides,cartnet,1.0918461084365845,,0.4671105146408081,,-0.5670998096466064,,1.0918461084365845,,0.4671105742454529,,-0.5671000480651855,,1,1,1,1,1,1
