mpids,formula,bg_mp,bg_exp,num_elements,source,category,num_categories,cluster_auto,is_ood
mp-1112659,Cs2NaBiI6,2.107399999999999,1.66,4,BandgapDatabase1,Halides,1,2,True
mp-2647124,Cs2PbBr6,0.5108,1.6,3,BandgapDatabase1,Halides,1,2,True
mp-1205847,Cs2PdBr6,0.756,1.6,3,BandgapDatabase1,Halides,1,2,True
mp-29806,Cs2PdI6,0.6286,1.4,3,BandgapDatabase1,Halides,1,2,True
mp-27828,Cs2TiCl6,2.2291,2.54,3,BandgapDatabase1,Halides,1,2,True
mp-1206662,Cs2TiI6,0.8643000000000001,1.04,3,BandgapDatabase1,Halides,1,2,True
mp-1112501,Cs2TlBiI6,1.3773,1.37,4,BandgapDatabase1,Halides,1,2,True
mp-1104268,Cs3Bi2Cl9,3.229899999999999,2.215,3,BandgapDatabase1,Halides,1,2,True
mp-1112980,Cs3BiBr6,3.4221,3.05,3,BandgapDatabase1,Halides,1,2,True
mp-27629,Cs3Sb2Cl9,2.395299999999999,2.07,3,BandgapDatabase1,Antimonides,2,2,True
mp-23436,Cs4PbBr6,3.682699999999999,3.95,3,BandgapDatabase1,Halides,1,2,True
mp-1238804,Cs4PbI6,3.4095,3.44,3,BandgapDatabase1,Halides,1,2,True
mp-23032,CsCuCl3,0.5494,2.6,3,BandgapDatabase1,Halides,1,2,True
mp-22988,CsGeCl3,2.153499999999999,1.835,3,BandgapDatabase1,Halides,1,2,True
mp-614603,CsI,3.8556,4.595000000000001,2,BandgapDatabase1,Halides,1,2,True
mp-29751,CsMgI3,3.1519999999999992,1.7,3,BandgapDatabase1,Halides,1,2,True
mp-22950,CsNiCl3,0.8049000000000001,4.8,3,BandgapDatabase1,Halides,1,2,True
mp-1238811,CsPb2Br5,3.0958,3.1,3,BandgapDatabase1,Halides,1,2,True
mp-567681,CsPbBr3,2.8808,2.3,3,BandgapDatabase1,Halides,1,2,True
mp-1539667,CsPbCl3,2.7365,2.975,3,BandgapDatabase1,Halides,1,2,True
mp-2646981,CsPbI2Br,1.4384,1.91,4,BandgapDatabase1,Halides,1,2,True
mp-540839,CsPbI3,2.5181,1.73,3,BandgapDatabase1,Halides,1,2,True
mp-1247749,CsSnBr3,0.9682,1.75,3,BandgapDatabase1,Halides,1,2,True
mp-27381,CsSnI3,2.0632,1.3,3,BandgapDatabase1,Halides,1,2,True
mp-1112176,CsTlCl3,1.2584,2.5,3,BandgapDatabase1,Halides,1,2,True
mp-676241,FeCl3,0.6636000000000001,0.685,2,BandgapDatabase1,Halides,1,2,True
mp-23153,I,0.9846,1.6,1,BandgapDatabase1,Halides,1,2,True
mp-574040,K2SnBr6,1.6124,1.4049999999999998,3,BandgapDatabase1,Halides,1,2,True
mp-31508,KPb2Br5,3.0699,3.46,3,BandgapDatabase1,Halides,1,2,True
mp-607267,KPb2Cl5,3.6551,4.0,3,BandgapDatabase1,Halides,1,2,True
mp-28572,LaBr2,0.5885,1.0,2,BandgapDatabase1,Halides,1,2,True
mp-23263,LaBr3,2.9266,3.75,2,BandgapDatabase1,Halides,1,2,True
mp-28306,MnBr2,1.5962,3.76,2,BandgapDatabase1,Halides,1,2,True
mp-28013,MnI2,1.170799999999999,4.220000000000001,2,BandgapDatabase1,Halides,1,2,True
mp-568394,MoCl3,0.599699999999999,0.56,2,BandgapDatabase1,Halides,1,2,True
